task,chain
Task1,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Determine the recovery strategy by prioritizing failed nodes based on betweenness centrality in interdependent directed networks"
Task2,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Determine the recovery strategy by prioritizing failed nodes based on nodes maximum degree in interdependent directed networks"
Task3,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Determine the recovery strategy by prioritizing failed nodes based on propagation range in interdependent directed networks"
Task4,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Solve the node recovery order using Genetic Algorithm based on GSCC in interdependent directed networks"
Task5,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Solve the node recovery order using Simulated Annealing based on GSCC in interdependent directed networks"
Task6,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Solve the node recovery order by summing the cumulative served population after each recovery step using a Genetic Algorithm"
Task7,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Solve the node recovery order by summing the cumulative served population after each recovery step using Simulated Annealing"
Task8,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Assess network resilience in interdependent directed networks by simulating cascading failures and quantifying resilience through the average path length before and after failure"
Task9,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Assess network resilience in interdependent directed networks by evaluating network connectivity before and after cascading failures"
Task10,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Assess network resilience in interdependent directed networks by evaluating network diameter before and after cascading failures"
Task11,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Assess network resilience in interdependent directed networks by simulating cascading failures and quantifying resilience through the ratio of global network efficiency after and before failure"
Task12,"Convert shapefile into networks and save the networks, Generate interdependent infrastructure networks using service areas, Generate real-time rainfall event for Shelby, Perform flood inundation simulation in HEC-RAS and to evaluate the inundation and failure of infrastructure nodes under real-time rainfall event, Assess network resilience in interdependent directed networks by evaluating node reachability before and after cascading failures"
