tool,description,step input,step,step output
shapefile_network_converter,"This tool is to convert shapefile network. It reads the shapefile information in infrastructures_information.json from Global_Data.json as input. It outputs the infrastructure networks in infrastructures_networks.json and saved in Global_Data.json. If this function is running, you could find the path of infrastructures_networks.json in Global_Data.json.",infrastructures_information.json,Convert shapefile network,infrastructures_networks.json
network_generator_for_interdependent_critical_infrastructures,"This tool is to generate network for interdependent critical infrastructures. It reads the infrastructure networks in infrastructures_networks.json from Global_Data.json as input. It outputs the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json and saved in Global_Data.json. If this function is running, you could find the path of interdependent_critical_infrastructures_networks.json in Global_Data.json.",infrastructures_networks.json,Generate network for interdependent critical infrastructures,interdependent_critical_infrastructures_networks.json
network_generator_for_resource_constrained_interdependent_critical_infrastructures,"This tool is to generate network for resource-constrained interdependent critical infrastructures. It reads the infrastructure networks in infrastructures_networks.json from Global_Data.json as input. It outputs the resource constrained interdependent critical infrastructures networks in resource_constrained_interdependent_critical_infrastructures_networks.json and saved in Global_Data.json. If this function is running, you could find the path of resource_constrained_interdependent_critical_infrastructures_networks.json in Global_Data.json.",infrastructures_networks.json,Generate network for resource-constrained interdependent critical infrastructures,resource_constrained_interdependent_critical_infrastructures_networks.json
real_time_rainfall_event_extractor,"This tool is to extract real-time rainfall event. It outputs the real-time rainfall event data in real_time_rainfall_event.json and saved in Global_Data.json. If this function is running, you could find the path of real_time_rainfall_event.json in Global_Data.json.",None,Extract real-time rainfall event,real_time_rainfall_event.json
ten_year_rainfall_event_extractor,"This tool is to extract ten-year rainfall event. It outputs the ten-year rainfall event data in ten_year_rainfall_event.json and saved in Global_Data.json. If this function is running, you could find the path of ten_year_rainfall_event.json in Global_Data.json.",None,Extract ten-year rainfall event,ten_year_rainfall_event.json
fifty_year_rainfall_event_extractor,"This tool is to extract fifty-year rainfall event. It outputs the fifty-year rainfall event data in fifty_year_rainfall_event.json and saved in Global_Data.json. If this function is running, you could find the path of fifty_year_rainfall_event.json in Global_Data.json.",None,Extract fifty-year rainfall event,fifty_year_rainfall_event.json
one_hundred_year_rainfall_event_extractor,"This tool is to extract one-hundred-year rainfall event. It outputs the one-hundred-year rainfall event data in one_hundred_year_rainfall_event.json and saved in Global_Data.json. If this function is running, you could find the path of one_hundred_year_rainfall_event.json in Global_Data.json.",None,Extract one-hundred-year rainfall event,one_hundred_year_rainfall_event.json
failure_node_extractor_for_HECRAS_simulations_under_real_time_rainfall_event,"This tool is to extract failure node for HEC-RAS simulations under real-time rainfall event. It reads the real-time rainfall event data in real_time_rainfall_event.json from Global_Data.json as input. It outputs the failure node in failure_node_after_HECRAS_simulations.json and saved in Global_Data.json. If this function is running, you could find the path of failure_node_after_HECRAS_simulations.json in Global_Data.json.",real_time_rainfall_event.json,Extract failure node for HEC-RAS simulations under real-time rainfall event,failure_node_after_HECRAS_simulations.json
failure_node_extractor_for_HECRAS_simulations_under_ten_year_rainfall_event,"This tool is to extract failure node for HEC-RAS simulations under ten-year rainfall event. It reads the ten-year rainfall event data in ten_year_rainfall_event.json from Global_Data.json as input. It outputs the failure node in failure_node_after_HECRAS_simulations.json and saved in Global_Data.json. If this function is running, you could find the path of failure_node_after_HECRAS_simulations.json in Global_Data.json.",ten_year_rainfall_event.json,Extract failure node for HEC-RAS simulations under ten-year rainfall event,failure_node_after_HECRAS_simulations.json
failure_node_extractor_for_HECRAS_simulations_under_fifty_year_rainfall_event,"This tool is to extract failure node for HEC-RAS simulations under fifty-year rainfall event. It reads the fifty-year rainfall event data in fifty_year_rainfall_event.json from Global_Data.json as input. It outputs the failure node in failure_node_after_HECRAS_simulations.json and saved in Global_Data.json. If this function is running, you could find the path of failure_node_after_HECRAS_simulations.json in Global_Data.json.",fifty_year_rainfall_event.json,Extract failure node for HEC-RAS simulations under fifty-year rainfall event,failure_node_after_HECRAS_simulations.json
failure_node_extractor_for_HECRAS_simulations_under_one_hundred_year_rainfall_event,"This tool is to extract failure node for HEC-RAS simulations under one-hundred-year rainfall event. It reads the one-hundred-year rainfall event data in one_hundred_year_rainfall_event.json from Global_Data.json as input. It outputs the failure node in failure_node_after_HECRAS_simulations.json and saved in Global_Data.json. If this function is running, you could find the path of failure_node_after_HECRAS_simulations.json in Global_Data.json.",one_hundred_year_rainfall_event.json,Extract failure node for HEC-RAS simulations under one-hundred-year rainfall event,failure_node_after_HECRAS_simulations.json
recovery_order_determined_based_on_betweenness,"This tool is to determine recovery order based on betweenness. It reads the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json and the failure node in failure_node_after_HECRAS_simulations.json from Global_Data.json as input. It outputs the recovery order in recovery_order_determined_based_on_betweenness.json and saved in Global_Data.json. If this function is running, you could find the path of recovery_order_determined_based_on_betweenness.json in Global_Data.json.","interdependent_critical_infrastructures_networks.json, failure_node_after_HECRAS_simulations.json",Determine recovery order based on betweenness,recovery_order_determined_based_on_betweenness.json
recovery_order_determined_based_on_GSCC_by_GA,"This tool is to determine recovery order based on GSCC by GA. It reads the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json and the failure node in failure_node_after_HECRAS_simulations.json from Global_Data.json as input. It outputs the recovery order in recovery_order_determined_based_on_GSCC_by_GA.json and saved in Global_Data.json. If this function is running, you could find the path of recovery_order_determined_based_on_GSCC_by_GA.json in Global_Data.json.","interdependent_critical_infrastructures_networks.json, failure_node_after_HECRAS_simulations.json",Determine recovery order based on GSCC by GA,recovery_order_determined_based_on_GSCC_by_GA.json
recovery_order_determined_based_on_GSCC_by_SA,"This tool is to determine recovery order based on GSCC by SA. It reads the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json and the failure node in failure_node_after_HECRAS_simulations.json from Global_Data.json as input. It outputs the recovery order in recovery_order_determined_based_on_GSCC_by_SA.json and saved in Global_Data.json. If this function is running, you could find the path of recovery_order_determined_based_on_GSCC_by_SA.json in Global_Data.json.","interdependent_critical_infrastructures_networks.json, failure_node_after_HECRAS_simulations.json",Determine recovery order based on GSCC by SA,recovery_order_determined_based_on_GSCC_by_SA.json
recovery_order_determined_based_on_node_degree,"This tool is to determine recovery order based on node degree. It reads the interdependent critical infrastructures networks in interdependent_critical_infrastructures_networks.json and the failure node in failure_node_after_HECRAS_simulations.json from Global_Data.json as input. It outputs the recovery order in recovery_order_determined_based_on_node_degree.json and saved in Global_Data.json. If this function is running, you could find the path of recovery_order_determined_based_on_node_degree.json in Global_Data.json.","interdependent_critical_infrastructures_networks.json, failure_node_after_HECRAS_simulations.json",Determine recovery order based on node degree,recovery_order_determined_based_on_node_degree.json
